date,code,description,debit,credit
2025-08-22,6320,Hardware maintenance and repairs,1421.97,0.0
2025-08-25,4190,Workshop and training session income,0.0,2402.8
2025-08-28,6020,Office supplies purchase,2764.29,0.0
2025-08-31,6070,Professional services – consulting,3599.73,0.0
2025-09-02,6010,Advertising campaign – social media,4318.55,0.0
2025-09-05,4110,Professional services – implementation project,0.0,2307.55
2025-09-08,6230,Software subscription – monthly fee,4757.35,0.0
2025-09-10,6060,Rent and utilities for office,3915.65,0.0
2025-09-12,6400,Training course for staff,2315.61,0.0
2025-09-15,6070,Professional services – consulting,822.29,0.0
2025-09-16,6020,Office supplies purchase,3658.59,0.0
2025-09-18,6100,Travel expenses – client meeting,4221.26,0.0
2025-09-20,4190,Workshop and training session income,0.0,2230.07
2025-09-22,6010,Advertising campaign – social media,3438.65,0.0
2025-09-25,6230,Software subscription – monthly fee,1811.03,0.0
2025-09-27,6320,Hardware maintenance and repairs,3938.45,0.0
2025-09-30,4190,Workshop and training session income,0.0,3987.28
2025-10-01,6020,Office supplies purchase,3658.59,0.0
2025-10-03,6100,Travel expenses – client meeting,1020.12,0.0
2025-10-03,6100,Travel expenses – client meeting,4020.88,0.0
2025-10-05,6230,Cloud hosting and storage costs,4047.76,0.0
2025-10-07,6060,Rent and utilities for office,2832.52,0.0
2025-10-10,4000,License fee for software product,0.0,4152.25
2025-10-12,6400,Training course for staff,2701.14,0.0
2025-10-15,6530,Cloud hosting and storage costs,4642.0,0.0
2025-10-17,6085,Team lunch with client,4700.52,0.0
2025-10-20,6230,Software subscription – monthly fee,3352.97,0.0
2025-10-22,6060,Rent and utilities for office,1556.0,0.0
2025-10-25,6320,Hardware maintenance and repairs,3078.73,0.0
2025-10-27,6010,Advertising campaign – social media,3168.45,0.0
2025-10-30,4190,Workshop and training session income,0.0,3081.89
2025-10-31,4110,Change request – extra development days,0.0,1581.52
2025-11-01,6320,Hardware maintenance and repairs,1327.29,0.0
2025-11-03,6230,Cloud hosting and storage costs,2826.77,0.0
2025-11-05,6020,Office supplies purchase,4328.39,0.0
2025-11-08,6100,Travel expenses – client meeting,3207.58,0.0
2025-11-10,6230,Software subscription – monthly fee,4754.15,0.0
2025-11-12,6010,Advertising campaign – social media,2017.93,0.0
2025-11-15,4190,Workshop and training session income,0.0,4346.41
2025-11-18,6060,Rent and utilities for office,1660.34,0.0
2025-11-20,6400,Training course for staff,2215.89,0.0
2025-11-22,4900,Success fee on completed project,0.0,1659.66
2025-11-25,6230,Software subscription – monthly fee,3233.46,0.0
2025-11-27,6100,Travel expenses – client meeting,3386.7,0.0
2025-11-30,4190,Workshop and training session income,0.0,3038.71
2025-12-01,6010,Advertising campaign – social media,3196.91,0.0
2025-12-03,4000,License fee for software product,0.0,2637.53
2025-12-05,6320,Hardware maintenance and repairs,4196.99,0.0
2025-12-08,6230,Software subscription – monthly fee,3039.47,0.0
2025-12-09,4100,Success fee on completed project,0.0,279.93
2025-12-12,6060,Rent and utilities for office,1658.23,0.0
2025-12-15,4020,Recurring SaaS subscription revenue,0.0,973.52
2025-12-18,6020,Office supplies purchase,2214.64,0.0
2025-12-20,6100,Travel expenses – client meeting,4738.37,0.0
2025-12-22,6400,Training course for staff,2846.75,0.0
2025-12-24,6230,Software subscription – monthly fee,2481.9,0.0
2025-12-27,6010,Advertising campaign – social media,4403.67,0.0
2025-12-29,6530,Cloud hosting and storage costs,2011.53,0.0
2025-12-31,6020,Office supplies purchase,273.88,0.0
